Method,AUC,Overall_Acc,Acc_Class0,Prec_Class0,Rec_Class0,F1_Class0,Acc_Class1,Prec_Class1,Rec_Class1,F1_Class1,BCE_Loss,Params
BaselineMLP,0.75 ± 0.05,0.71 ± 0.04,0.72 ± 0.05,0.93 ± 0.03,0.72 ± 0.05,0.81 ± 0.03,0.66 ± 0.13,0.27 ± 0.05,0.66 ± 0.13,0.38 ± 0.07,0.59 ± 0.05,"{'lr': 0.001, 'hidden_dim': 64, 'num_layers': 1}"
LogisticRegression,0.82 ± 0.05,0.73 ± 0.04,0.72 ± 0.04,0.96 ± 0.02,0.72 ± 0.04,0.82 ± 0.03,0.77 ± 0.13,0.29 ± 0.05,0.77 ± 0.13,0.42 ± 0.07,0.57 ± 0.08,{'lr': 0.1}
XGBoost,0.79 ± 0.03,0.69 ± 0.03,0.69 ± 0.04,0.93 ± 0.03,0.69 ± 0.04,0.79 ± 0.03,0.71 ± 0.11,0.28 ± 0.05,0.71 ± 0.11,0.40 ± 0.05,0.55 ± 0.03,"{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300}"
RandomForest,0.82 ± 0.05,,0.72 ± 0.05,0.95 ± 0.02,0.72 ± 0.05,0.82 ± 0.03,0.75 ± 0.11,0.30 ± 0.05,0.75 ± 0.11,0.42 ± 0.07,0.55 ± 0.02,"{'max_depth': 3, 'n_estimators': 100}"
PatternNoDecomp,0.79 ± 0.01,,,0.95 ± 0.01,0.69 ± 0.03,0.80 ± 0.02,,0.28 ± 0.01,0.75 ± 0.04,0.41 ± 0.00,0.58 ± 0.03,"{'hidden_dim': 64, 'num_layers': 3, 'residual_type': 'sum', 'lr': 0.01, 'num_decoder_layers': 1}"
DecoupledResidualNoDecomp,0.77 ± 0.03,,,0.93 ± 0.01,0.70 ± 0.04,0.80 ± 0.02,,0.27 ± 0.01,0.69 ± 0.09,0.39 ± 0.02,0.60 ± 0.04,"{'hidden_dim': 64, 'num_layers': 2, 'residual_type': 'sum', 'lr': 0.01}"
DecoupledResidual,0.77 ± 0.01,,,0.94 ± 0.01,0.69 ± 0.05,0.80 ± 0.03,,0.27 ± 0.01,0.70 ± 0.08,0.39 ± 0.01,0.59 ± 0.02,"{'hidden_dim': 32, 'num_layers': 3, 'residual_type': 'sum', 'lr': 0.01}"
PatternResidual,0.78 ± 0.03,,,0.95 ± 0.02,0.59 ± 0.21,0.70 ± 0.20,,0.26 ± 0.05,0.79 ± 0.10,0.38 ± 0.05,0.62 ± 0.09,"{'hidden_dim': 64, 'num_layers': 2, 'residual_type': 'sum', 'lr': 0.01}"
PatternNoDecomp,0.79 ± 0.01,,,0.95 ± 0.01,0.69 ± 0.03,0.80 ± 0.02,,0.28 ± 0.01,0.75 ± 0.04,0.41 ± 0.00,0.58 ± 0.03,"{'hidden_dim': 64, 'num_layers': 3, 'residual_type': 'sum', 'lr': 0.01, 'num_decoder_layers': 1}"
DecoupledResidualNoDecomp,0.77 ± 0.03,,,0.93 ± 0.01,0.70 ± 0.04,0.80 ± 0.02,,0.27 ± 0.01,0.69 ± 0.09,0.39 ± 0.02,0.60 ± 0.04,"{'hidden_dim': 64, 'num_layers': 2, 'residual_type': 'sum', 'lr': 0.01}"
